name,#,reading,average,stdev,replicate
rsbU,149,0.047,0.055666667,0.009609024,1
rsbU,149,0.054,0.055666667,0.009609024,2
rsbU,149,0.066,0.055666667,0.009609024,3
rsbV,414,0.068,0.071666667,0.007234178,1
rsbV,414,0.067,0.071666667,0.007234178,2
rsbV,414,0.08,0.071666667,0.007234178,3
rsbW,#014,0.039,0.049,0.008717798,1
rsbW,#014,0.053,0.049,0.008717798,2
rsbW,#014,0.055,0.049,0.008717798,3
sigB,652,0.052,0.058,0.005567764,1
sigB,652,0.063,0.058,0.005567764,2
sigB,652,0.059,0.058,0.005567764,3
WT,USA300,0.24,0.225666667,0.015631165,1
WT,USA300,0.209,0.225666667,0.015631165,2
WT,USA300,0.228,0.225666667,0.015631165,2
