PlateID	SaStrain	H2O2_Per	Plate	DilutionID	Dilution	CFUs	Fractions	TotalCFUperplate	RelDPBS
2D4	EGM5-41	0.30%	2	D4	10000	482	4	1928	0.967871486
2D5	EGM5-41	0.30%	2	D5	100000	213	1	213	1.03902439
2D6	EGM5-41	0.30%	2	D6	1000000	39	1	39	1.026315789
2D4	EGM5-41	0.30%	2	D4	10000	337	8	2696	1.728205128
2D5	EGM5-41	0.30%	2	D5	100000	247	1	247	1.193236715
2D6	EGM5-41	0.30%	2	D6	1000000	241	1	241	2.835294118
3D4	EGM5-41	0.60%	3	D4	10000	572	4	2288	1.148594378
3D5	EGM5-41	0.60%	3	D5	100000	347	1	347	1.692682927
3D6	EGM5-41	0.60%	3	D6	1000000	40	1	40	1.052631579
3D4	EGM5-41	0.60%	3	D4	10000	593	4	2372	1.520512821
3D5	EGM5-41	0.60%	3	D5	100000	305	1	305	1.473429952
3D6	EGM5-41	0.60%	3	D6	1000000	72	1	72	0.847058824
4D4	EGM5-41	1%	4	D4	10000	674	4	2696	1.353413655
4D5	EGM5-41	1%	4	D5	100000	351	1	351	1.712195122
4D6	EGM5-41	1%	4	D6	1000000	449	1	449	11.81578947
4D4	EGM5-41	1%	4	D4	10000	559	4	2236	1.433333333
4D5	EGM5-41	1%	4	D5	100000	333	1	333	1.608695652
4D6	EGM5-41	1%	4	D6	1000000	54	1	54	0.635294118
1D4	EGM5-41	DPBS	1	D4	10000	498	4	1992	1
1D5	EGM5-41	DPBS	1	D5	100000	205	1	205	1
1D6	EGM5-41	DPBS	1	D6	1000000	38	1	38	1
1D4	EGM5-41	DPBS	1	D4	10000	195	8	1560	1
1D5	EGM5-41	DPBS	1	D5	100000	207	1	207	1
1D6	EGM5-41	DPBS	1	D6	1000000	85	1	85	1
6D4	EGM7-08	0.30%	6	D4	10000	373	8	2984	0.971354167
6D5	EGM7-08	0.30%	6	D5	100000	285	1	285	0.580448065
6D6	EGM7-08	0.30%	6	D6	1000000	52	1	52	0.297142857
6D4	EGM7-08	0.30%	6	D4	10000	244	8	1952	0.679665738
6D5	EGM7-08	0.30%	6	D5	100000	310	1	310	0.895953757
6D6	EGM7-08	0.30%	6	D6	1000000	125	1	125	1.179245283
7D4	EGM7-08	0.60%	7	D4	10000	271	8	2168	0.705729167
7D5	EGM7-08	0.60%	7	D5	100000	302	1	302	0.615071283
7D6	EGM7-08	0.60%	7	D6	1000000	48	1	48	0.274285714
7D4	EGM7-08	0.60%	7	D4	10000	339	8	2712	0.944289694
7D5	EGM7-08	0.60%	7	D5	100000	409	1	409	1.182080925
7D6	EGM7-08	0.60%	7	D6	1000000	138	1	138	1.301886792
8D4	EGM7-08	1%	8	D4	10000	398	8	3184	1.036458333
8D5	EGM7-08	1%	8	D5	100000	336	1	336	0.684317719
8D6	EGM7-08	1%	8	D6	1000000	36	1	36	0.205714286
8D4	EGM7-08	1%	8	D4	10000	259	8	2072	0.721448468
8D5	EGM7-08	1%	8	D5	100000	275	1	275	0.794797688
8D6	EGM7-08	1%	8	D6	1000000	113	1	113	1.066037736
5D4	EGM7-08	DPBS	5	D4	10000	384	8	3072	1
5D5	EGM7-08	DPBS	5	D5	100000	491	1	491	1
5D6	EGM7-08	DPBS	5	D6	1000000	175	1	175	1
5D4	EGM7-08	DPBS	5	D4	10000	359	8	2872	1
5D5	EGM7-08	DPBS	5	D5	100000	346	1	346	1
5D6	EGM7-08	DPBS	5	D6	1000000	106	1	106	1
10D4	EGM7-10	0.30%	10	D4	10000	332	8	2656	1.720207254
10D4	EGM7-10	0.30%	10	D4	10000	279	8	2232	1.052830189
11D4	EGM7-10	0.60%	11	D4	10000	259	8	2072	1.341968912
11D4	EGM7-10	0.60%	11	D4	10000	289	8	2312	1.090566038
12D4	EGM7-10	1%	12	D4	10000	239	8	1912	1.238341969
12D4	EGM7-10	1%	12	D4	10000	278	8	2224	1.049056604
9D4	EGM7-10	DPBS	9	D4	10000	193	8	1544	1
9D4	EGM7-10	DPBS	9	D4	10000	265	8	2120	1
10D5	EGM7-10	0.30%	10	D5	100000	331	1	331	1.504545455
10D5	EGM7-10	0.30%	10	D5	100000	273	1	273	0.863924051
11D5	EGM7-10	0.60%	11	D5	100000	203	1	203	0.922727273
11D5	EGM7-10	0.60%	11	D5	100000	325	1	325	1.028481013
12D5	EGM7-10	1%	12	D5	100000	254	1	254	1.154545455
12D5	EGM7-10	1%	12	D5	100000	371	1	371	1.174050633
9D5	EGM7-10	DPBS	9	D5	100000	220	1	220	1
9D5	EGM7-10	DPBS	9	D5	100000	316	1	316	1
10D6	EGM7-10	0.30%	10	D6	1000000	82	1	82	1.464285714
10D6	EGM7-10	0.30%	10	D6	1000000	76	1	76	1.52
11D6	EGM7-10	0.60%	11	D6	1000000	64	1	64	1.142857143
11D6	EGM7-10	0.60%	11	D6	1000000	115	1	115	2.3
12D6	EGM7-10	1%	12	D6	1000000	42	1	42	0.75
12D6	EGM7-10	1%	12	D6	1000000	55	1	55	1.1
9D6	EGM7-10	DPBS	9	D6	1000000	56	1	56	1
9D6	EGM7-10	DPBS	9	D6	1000000	50	1	50	1
