strain,survival,average_survival,std_dev,sample 
USA300,23.82352941,22.76721463,1.614206036,300_1
USA300 dCrtN,3.5,9.195652174,5.188279288,N_1
SA925,16.95652174,21.17027629,4.686239002,72_1
SA1088,1.103448276,4.277281113,2.765894254,81_1
USA300,20.90909091,22.76721463,1.614206036,300_2
USA300 dCrtN,13.65217391,9.195652174,5.188279288,N_2
SA925,20.33707865,21.17027629,4.686239002,72_2
SA1088,5.555555556,4.277281113,2.765894254,81_2
USA300,23.56902357,22.76721463,1.614206036,300_3
USA300 dCrtN,10.43478261,9.195652174,5.188279288,N_3
SA925,26.21722846,21.17027629,4.686239002,72_3
SA1088,6.172839506,4.277281113,2.765894254,81_3
