mouse_id,condition,mouse,cd45_count_adj,cd11b_count_adj,monocyte_count_adj,ly6c_ly6g_count_adj,neutrophil_count_adj,macrophage_count_adj,cd90_count_adj,cd4tcell_count_adj,cd8tcell_count_adj,gd_tcell_count_adj,cd45_percent,cd11b_percent,monocyte_percent,ly6c_ly6g_percent,neutrophil_percent,macrophage_percent,cd90_percent,cd4tcell_percent,cd8tcell_percent,gd_tcell_percent
1,punch,c57bl6,70607,13637,2193,1580,2473,5788,43738,2509,183,8458,16.2 ,19.3 ,11.6 ,16.1 ,18.1 ,42.4 ,61.9 ,5.74 ,0.42 ,12.0 
2,punch,c57bl6,78694,18296,2627,1736,2625,8694,45661,5553,165,13723,28.0 ,23.2 ,9.49 ,14.4 ,14.3 ,47.5 ,58.0 ,12.2 ,0.36 ,17.4 
3,punch,c57bl6,48283,11668,1529,795,1377,5432,25552,2606,125,5994,10.6 ,24.2 ,6.81 ,13.1 ,11.8 ,46.6 ,52.9 ,10.2 ,0.49 ,12.4 
4,punch,c57bl6,62256,13090,1927,671,1322,5116,35056,2888,129,6370,16.8 ,21.0 ,5.13 ,14.7 ,10.1 ,39.1 ,56.3 ,8.24 ,0.37 ,10.2 
5,punch,c57bl6,39096,12002,2000,1069,1929,3411,19327,2007,110,3015,10.2 ,30.7 ,8.91 ,16.7 ,16.1 ,28.4 ,49.4 ,10.4 ,0.57 ,7.71 
6,none,c57bl6,73880.31691,10547.26484,1335.501948,401.5234615,1056.181279,4748.451371,49922.75038,2371.316095,104.7452508,8254.507683,25.7 ,14.3 ,3.81 ,12.7 ,10.0 ,45.0 ,67.6 ,4.75 ,0.21 ,11.2 
7,none,c57bl6,46527.06997,8449.033908,1038.367686,136.6273271,1002.844581,2899.231881,27199.76828,2057.607546,79.24384972,3839.227892,10.4 ,18.2 ,1.62 ,12.3 ,11.9 ,34.3 ,58.5 ,7.56 ,0.29 ,8.25 
18,1088,c57bl6,60967,21459,6277,3437,4344,7176,29079,4280,988,7303,18.1 ,35.2 ,16.0 ,29.3 ,20.2 ,33.4 ,47.7 ,14.7 ,3.40 ,12.0 
19,1088,c57bl6,64430,23876,5215,3225,4572,7207,29050,4629,884,9175,19.3 ,37.1 ,13.5 ,21.8 ,19.1 ,30.2 ,45.1 ,15.9 ,3.04 ,14.2 
20,1088,c57bl6,81740,24965,6504,2865,3827,9469,44019,8501,2079,12674,22.0 ,30.5 ,11.5 ,26.1 ,15.3 ,37.9 ,53.9 ,19.3 ,4.72 ,15.5 
21,1088,c57bl6,81489.85507,35715.21739,6606.521739,10623.91304,13328.26087,4950,32768.84058,5485.507246,668.8405797,9736.231884,20.5 ,43.8 ,29.7 ,18.5 ,37.3 ,13.9 ,40.2 ,16.7 ,2.04 ,11.9 
22,1088,c57bl6,80524.39024,30172.76423,9638.211382,5705.284553,6731.707317,10644.30894,39902.43902,7932.926829,1813.00813,11961.38211,30.3 ,37.5 ,18.9 ,31.9 ,22.3 ,35.3 ,49.6 ,19.9 ,4.54 ,14.9 
23,925,c57bl6,65684,17588,4171,2626,4684,5296,31523,5056,702,5222,11.9 ,26.8 ,14.9 ,23.7 ,26.6 ,30.1 ,48.0 ,16.0 ,2.23 ,7.95 
24,925,c57bl6,66187,24621,4653,5286,6600,7519,27693,4820,770,5008,16.7 ,37.2 ,21.5 ,18.9 ,26.8 ,30.5 ,41.8 ,17.4 ,2.78 ,7.57 
25,925,c57bl6,64453.00237,26360.95356,4214.717763,6914.648695,9209.066745,3824.902154,25314.4687,4424.014735,313.9454572,5245.505348,17.4 ,40.9 ,26.2 ,16.0 ,34.9 ,14.5 ,39.3 ,17.5 ,1.24 ,8.14 
26,925,c57bl6,95061.13033,39547.86621,11846.59746,9927.33564,11876.58593,12073.81776,40361.01499,9779.700115,1591.695502,9809.688581,25.1 ,41.6 ,25.1 ,30.0 ,30.0 ,30.5 ,42.5 ,24.2 ,3.94 ,10.3 
28,lac,c57bl6,82267.54967,29417.21854,5709.933775,5368.211921,7578.807947,9647.682119,37370.86093,4308.609272,490.0662252,9198.675497,26.3 ,35.8 ,18.2 ,19.4 ,25.8 ,32.8 ,45.4 ,11.5 ,1.31 ,11.2 
29,lac,c57bl6,72233.2914,22757.11361,5114.267613,4113.450432,5357.585552,5509.0854,36295.69098,5784.53967,830.9537145,9204.763523,24.9 ,31.5 ,18.1 ,22.5 ,23.5 ,24.2 ,50.2 ,15.9 ,2.29 ,12.7 
