mouse_id,condition,mouse,cd45_count_adj,cd11b_count_adj,monocyte_count_adj,ly6c_ly6g_count_adj,neutrophil_count_adj,macrophage_count_adj,cd90_count_adj,cd4tcell_count_adj,cd8tcell_count_adj,gd_tcell_count_adj,cd45_percent,cd11b_percent,monocyte_percent,ly6c_ly6g_percent,neutrophil_percent,macrophage_percent,cd90_percent,cd4tcell_percent,cd8tcell_percent,gd_tcell_percent
9,punch,dbdb,56370,12978,3332,1365,1954,6187,29435,2775,222,2238,17.1 ,23.0 ,10.5 ,25.7 ,15.1 ,47.7 ,52.2 ,9.43 ,0.75 ,3.97 
10,punch,dbdb,33790,10822,3109,1509,2032,4970,14423,1993,162,1154,7.85 ,32.0 ,13.9 ,28.7 ,18.8 ,45.9 ,42.7 ,13.8 ,1.12 ,3.42 
11,punch,dbdb,36902,14873,3899,4050,4848,5468,11799,1164,148,856,6.99 ,40.3 ,27.2 ,26.2 ,32.6 ,36.8 ,32.0 ,9.87 ,1.25 ,2.32 
12,punch,dbdb,16537.85331,7472.659643,3029.155623,946.6111321,1258.435976,3374.390271,5223.066129,679.3326948,122.5026171,289.5516404,3.88 ,45.2 ,12.7 ,40.5 ,16.8 ,45.2 ,31.6 ,13.0 ,2.35 ,1.75 
13,punch,dbdb,33875.13812,11302.76243,3371.270718,891.7127072,1264.088398,6041.98895,12535.9116,1811.049724,131.4917127,765.7458564,7.40 ,33.4 ,7.89 ,29.8 ,11.2 ,53.5 ,37.0 ,14.4 ,1.05 ,2.26 
14,punch,dbdb,42627.7533,13442.73128,3592.511013,819.3832599,1259.911894,7669.603524,17757.70925,1691.629956,202.6431718,1464.757709,13.7 ,31.5 ,6.10 ,26.7 ,9.37 ,57.1 ,41.7 ,9.53 ,1.14 ,3.44 
15,none,dbdb,43839.00929,5859.540492,984.1942317,65.17842594,404.1062408,3089.45739,26768.77953,1297.050676,149.9103797,1525.175167,9.06 ,13.4 ,1.11 ,16.8 ,6.90 ,52.7 ,61.1 ,4.85 ,0.56 ,3.48 
16,none,dbdb,40301.64869,5669.997304,567.4021433,72.43431616,406.4369962,2712.262727,22985.82299,1396.37265,108.6514742,1633.796242,8.77 ,14.1 ,1.28 ,10.0 ,7.17 ,47.8 ,57.0 ,6.07 ,0.47 ,4.05 
17,none,dbdb,40731.43761,7198.670113,922.7186514,256.3107365,746.9627178,3778.752572,21566.71768,1845.437303,227.0180809,1728.26668,13.8 ,17.7 ,3.56 ,12.8 ,10.4 ,52.5 ,52.9 ,8.56 ,1.05 ,4.24 
38,lac,dbdb,59894.44444,26138.88889,9383.333333,5568.518519,8675.925926,10129.62963,21551.85185,4512.962963,759.2592593,2590.740741,13.2 ,43.6 ,21.3 ,35.9 ,33.2 ,38.8 ,36.0 ,20.9 ,3.52 ,4.33 
39,lac,dbdb,57850.36496,24437.9562,8412.408759,4835.766423,6215.328467,11474.45255,21888.68613,6177.007299,923.3576642,3854.014599,13.3 ,42.2 ,19.8 ,34.4 ,25.4 ,47.0 ,37.8 ,28.2 ,4.22 ,6.66 
40,lac,dbdb,83122.60536,40831.41762,13061.30268,11392.72031,14227.96935,16513.40996,26549.80843,7063.218391,881.2260536,5126.436782,20.5 ,49.1 ,27.9 ,32.0 ,34.8 ,40.4 ,31.9 ,26.6 ,3.32 ,6.17 
41,lac,dbdb,58577.34205,25995.6427,11002.17865,3289.760349,4283.224401,14461.87364,19938.99782,5409.586057,947.7124183,1305.010893,15.2 ,44.4 ,12.7 ,42.3 ,16.5 ,55.6 ,34.0 ,27.1 ,4.75 ,2.23 
42,lac,dbdb,57249.50495,24869.30693,7847.524752,4845.544554,6001.980198,11819.80198,19946.53465,6302.970297,1752.475248,1457.425743,13.7 ,43.4 ,19.5 ,31.6 ,24.1 ,47.5 ,34.8 ,31.6 ,8.79 ,2.55 
43,lac,dbdb,57200.86242,30288.60361,8096.113647,9499.731862,11765.22091,11885.60922,15759.92383,4093.202438,692.2327653,1305.118692,15.5 ,53.0 ,31.4 ,26.7 ,38.8 ,39.2 ,27.6 ,26.0 ,4.39 ,2.28 
44,crtn,dbdb,53907.24638,19911.5942,5944.927536,2065.217391,3386.956522,10594.2029,15868.11594,2997.101449,398.5507246,3185.507246,9.13 ,36.9 ,10.4 ,29.9 ,17.0 ,53.2 ,29.4 ,18.9 ,2.51 ,5.91 
45,crtn,dbdb,59549.06054,24588.72651,8277.661795,3455.114823,5016.701461,10718.16284,22494.78079,6985.386221,736.9519833,1789.14405,16.0 ,41.3 ,14.1 ,33.7 ,20.4 ,43.6 ,37.8 ,31.1 ,3.28 ,3.00 
46,crtn,dbdb,63264.94024,26340.63745,9217.131474,4360.557769,5794.820717,11589.64143,25019.92032,7298.804781,900.3984064,2366.533865,17.2 ,41.6 ,16.6 ,35.0 ,22.0 ,44.0 ,39.5 ,29.2 ,3.60 ,3.74 
47,crtn,dbdb,56398.07735,26667.23466,10717.30317,5385.276222,6361.512847,11533.79199,19467.93329,6159.165619,780.9893004,1743.026121,16.7 ,47.3 ,20.2 ,40.2 ,23.9 ,43.3 ,34.5 ,31.6 ,4.01 ,3.09 
48,crtn,dbdb,53179.3722,21008.96861,7730.941704,3661.434978,4672.64574,9618.834081,21643.49776,5060.538117,600.896861,2730.941704,16.6 ,39.5 ,17.4 ,36.8 ,22.2 ,45.8 ,40.7 ,23.4 ,2.78 ,5.14 
49,crtn,dbdb,74050.34725,30757.24706,11145.40716,5336.109372,6879.431592,15324.02487,30218.54025,9885.997991,808.0602187,3996.622163,20.4 ,41.5 ,17.3 ,36.2 ,22.4 ,49.8 ,40.8 ,32.7 ,2.67 ,5.40 
