mouse_id,condition,mouse,colony_count_blood,dilution_blood,cfu_ear_blood,colony_count_chromagar,dilution_chromagar,cfu_chromagar
1,punch,c57bl6,7,1,3500,,,0
2,punch,c57bl6,10,1,5000,,,0
3,punch,c57bl6,3,1,1500,,,0
4,punch,c57bl6,8,1,4000,,,0
5,punch,c57bl6,7,1,3500,,,0
6,none,c57bl6,,,,,,
7,none,c57bl6,,,,,,
8,none,c57bl6,,,,,,
18,1088,c57bl6,17,1,8500,13,1,6500
19,1088,c57bl6,22,1,11000,25,1,12500
20,1088,c57bl6,28,2,28000,31,2,31000
21,1088,c57bl6,51,1,25500,49,1,24500
22,1088,c57bl6,23,2,23000,,,
23,925,c57bl6,36,1,18000,26,1,13000
24,925,c57bl6,82,1,41000,52,1,26000
25,925,c57bl6,61,1,30500,72,1,36000
26,925,c57bl6,86,1,43000,79,1,39500
27,925,c57bl6,69,1,34500,63,1,31500
28,lac,c57bl6,36,1,18000,30,1,15000
29,lac,c57bl6,36,1,18000,24,1,12000
30,lac,c57bl6,64,1,32000,51,1,25500
31,lac,c57bl6,33,1,16500,25,1,12500
32,lac,c57bl6,26,2,26000,20,2,20000
33,crtn,c57bl6,46,1,23000,40,1,20000
34,crtn,c57bl6,42,1,21000,52,1,26000
35,crtn,c57bl6,12,1,6000,20,1,10000
36,crtn,c57bl6,32,1,16000,28,1,14000
37,crtn,c57bl6,29,2,29000,,,
