mouse,group,LorR,wound,area_0,area_3,area_7,area_14,change_3,change_7,change_14
SA925_1,SA925,L,SA925_1,0.525,1.121,1.409,2.14,213.5238095,268.3809524,406.86
SA925_1,SA925,R,SA925_2,0.833,1.408,1.503,1.173,169.027611,180.4321729,140.82
SA925_3,SA925,L,SA925_3,1,1.082,1.854,1.83,108.2,185.4,183
SA925_3,SA925,R,SA925_4,1.04,1.491,1.87,1.454,143.3653846,179.8076923,139.81
SA1088_1,SA1088,L,SA1088_1,0.46,0.709,0.765,0.29,154.1304348,166.3043478,62.61
SA1088_1,SA1088,R,SA1088_2,0.454,0.671,0.636,0.343,147.7973568,140.0881057,75.55
SA1088_2,SA1088,L,SA1088_3,0.658,0.693,0.756,0.259,105.3191489,114.893617,39.36
SA1088_2,SA1088,R,SA1088_4,0.992,0.997,0.818,0.608,100.5040323,82.45967742,61.29
SA1088_3,SA1088,L,SA1088_5,0.582,0.756,0.898,0.454,129.8969072,154.2955326,78.01
SA1088_3,SA1088,R,SA1088_6,0.808,1.234,1.09,0.409,152.7227723,134.9009901,50.62
PBS_1,PBS,L,C_1,0.62,0.577,0.387,0.12,93.06451613,62.41935484,19.35
PBS_1,PBS,R,C_2,0.596,0.565,0.381,0.063,94.79865772,63.9261745,10.57
PBS_2,PBS,L,C_3,0.826,0.556,0.366,0.055,67.31234867,44.30992736,6.66
PBS_2,PBS,R,C_4,0.737,0.524,0.421,0.128,71.0990502,57.12347354,17.37
PBS_3,PBS,L,C_5,0.386,0.211,NA,NA,54.66321244,NA,NA
PBS_3,PBS,R,C_6,0.534,0.28,NA,NA,52.43445693,NA,NA
