mouse,left or right,sex,group,day_0_area,day_3_area,day_3_change,day_7_area,day_7_change,day_14_area,day_14_change,day_21_area,day_21_change
PBS_1,L,m,PBS,0.477,0.425,89,0.288,60,0.002,0,0,0
PBS_1,R,m,PBS,0.61,0.447,73,0.192,31,0,0,0,0
PBS_2,L,m,PBS,0.74,0.548,74,0.256,35,0.055,7,0,0
PBS_2,R,m,PBS,0.508,0.646,127,0.507,100,0.505,99,0.061,12
PBS_3,L,m,PBS,0.552,0.394,71,0.201,36,0.002,0,0,0
PBS_3,R,m,PBS,0.512,0.703,137,0.476,93,0.035,7,0.009,2
PBS_4,L,m,PBS,0.619,0.56,90,0.376,61,0.298,48,0,0
PBS_4,R,m,PBS,0.619,0.619,100,0.251,41,0.048,8,0,0
LAC_1,L,m,USA300 LAC,0.587,1.034,176,0.823,140,0.541,92,0.26,44
LAC_1,R,m,USA300 LAC,0.411,0.819,199,0.663,161,0.583,142,0.496,121
LAC_2,L,m,USA300 LAC,0.642,0.745,116,0.995,155,0.472,74,0.346,54
LAC_2,R,m,USA300 LAC,0.599,1,167,1.213,203,1.039,173,0.892,149
LAC_3,L,m,USA300 LAC,0.572,0.852,149,0.73,128,0.361,63,0,0
LAC_3,R,m,USA300 LAC,0.611,1.091,179,1.211,198,1.067,175,0.52,85
LAC_4,L,m,USA300 LAC,0.497,0.489,98,1.071,215,0.991,199,0.2,40
LAC_4,R,m,USA300 LAC,0.612,0.817,133,0.767,125,0.57,93,0.079,13
LAC_5,L,m,USA300 LAC,1.048,1.33,127,1.275,122,0.352,34,0.006,1
LAC_5,R,m,USA300 LAC,0.474,0.77,162,1.235,261,0.744,157,0.399,84
72_3,L,m,ARM72,0.369,0.764,207,0.814,221,0.407,110,0.257,70
72_3,R,m,ARM72,0.627,0.845,135,0.89,142,0.428,68,0.102,16
72_4,L,m,ARM72,0.6,0.942,157,1.259,210,0.671,112,0.042,7
72_4,R,m,ARM72,0.498,0.947,190,0.908,182,0.472,95,0.293,59
72_5,L,m,ARM72,0.563,0.975,173,0.64,114,0.144,26,0,0
72_5,R,m,ARM72,1.052,1.157,110,1.129,107,0.548,52,0,0
72_6,L,m,ARM72,0.635,0.709,112,0.76,120,0.243,38,0.054,9
72_6,R,m,ARM72,0.494,0.783,159,1.14,231,0.771,156,0.291,59
81_1,L,m,ARM81,0.481,0.623,130,0.447,93,0.066,14,0,0
81_1,R,m,ARM81,0.628,0.72,115,0.438,70,0.384,61,0,0
81_2,L,m,ARM81,0.666,0.68,102,0.419,63,0.151,23,0,0
81_2,R,m,ARM81,0.591,0.655,111,0.817,138,0.456,77,0.045,8
81_3,L,m,ARM81,0.71,0.452,64,0.483,68,0.008,1,0,0
81_3,R,m,ARM81,0.607,0.43,71,0.286,47,0,0,0,0
81_4,L,m,ARM81,0.876,0.794,91,0.921,105,0.264,30,0,0
81_4,R,m,ARM81,0.882,0.943,107,1.106,125,0.429,49,0.02,2
81_5,L,m,ARM81,0.631,0.636,101,0.496,79,0.02,3,0,0
81_5,R,m,ARM81,0.545,0.783,144,0.625,115,0.284,52,0.069,13
2498_1,L,m,USA300 dCrtN,0.575,0.652,113,1.097,191,0.556,97,0.116,20
2498_1,R,m,USA300 dCrtN,0.602,0.644,107,0.915,152,0.55,91,0.261,43
2498_2,L,m,USA300 dCrtN,0.723,0.807,112,0.868,120,0.466,64,0.049,7
2498_2,R,m,USA300 dCrtN,0.619,0.623,101,1,162,0.508,82,0.19,31
2498_3,L,m,USA300 dCrtN,0.589,0.499,85,0.785,133,0.342,58,0.083,14
2498_3,R,m,USA300 dCrtN,0.625,0.729,117,0.732,117,0.45,72,0.151,24
2498_4,L,m,USA300 dCrtN,0.55,0.403,73,0.421,77,0.035,6,0,0
2498_4,R,m,USA300 dCrtN,0.665,0.774,116,1.163,175,0.606,91,0.074,11
