Genome,CCLabel
SA1006,CC8
SA1020,CC15
SA1058,CC15
SA105,CC8
SA1082,CC1
SA1085,CC1
SA1086,CC1
SA1176,CC5
SA1207,CC8
SA1219,CC8
SA1253,CC8
SA1289,CC5
SA1352,CC15
SA1358,CC5
SA1364,CC15
SA1368,CC5
SA1384,CC15
SA1399,CC30
SA1413,CC30
SA1416,CC30
SA1442,CC20
SA1447,CC5
SA1462,CC20
SA1465,CC5
SA1483,CC20
SA1490,CC20
SA1499,CC8
SA1509,CC20
SA1531,CC1
SA1562,CC1
SA1567,CC72
SA1572,CC72
SA1593,CC72
SA1623,CC1
SA1628,CC72
SA1643,CC5
SA1644,CC5
SA1657,CC8
SA1661,CC8
SA1663,CC5
SA1686,CC8
SA1691,CC8
SA1695,CC5
SA1696,CC1
SA1702,CC5
SA1729,CC8
SA1743,CC8
SA1747,CC8
SA1761,CC5
SA1765,CC8
SA1776,CC5
SA1779,CC5
SA1808,CC5
SA1818,CC5
SA1819,CC5
SA1829,CC5
SA1834,CC5
SA1844,CC5
SA1849,CC5
SA1858,CC5
SA1863,CC5
SA1869,CC5
SA1885,CC5
SA189,CC72
SA1902,CC5
SA1923,CC5
SA1946,CC8
SA1952,CC5
SA1961,CC8
SA1968,CC5
SA2004,CC5
SA2034,CC5
SA2058,CC8
SA2064,CC5
SA2075,CC5
SA2083,CC5
SA2089,CC5
SA2105,CC5
SA2123,CC5
SA2127,CC5
SA2130,CC8
SA2137,CC5
SA2139,CC5
SA2144,CC5
SA2148,CC5
SA2150,CC5
SA2179,CC5
SA2187,CC5
SA2213,CC5
SA2221,CC8
SA244,CC45
SA280,CC5
SA300,CC5
SA317,CC5
SA339,CC5
SA359,CC5
SA377,CC5
SA460,CC5
SA467,CC5
SA468,CC5
SA47,CC8
SA489,CC5
SA498,CC5
SA551,CC15
SA564,CC5
SA568,CC30
SA56,CC8
SA596,CC30
SA613,CC30
SA62,CC8
SA657,CC8
SA691,CC72
SA701,CC72
SA731,CC8
SA767,CC5
SA781,CC5
SA788,CC8
SA807,CC5
SA848,CC8
SA869,CC5
SA915,CC59
SA936,CC8
SA968,CC59
SA973,CC8
SA1037,CC1
SA1038,CC1
SA1353,CC1
SA1455,CC5
SA1540,CC1
SA1610,CC72
SA1722,CC1
SA1740,CC5
SA1782,CC8
SA2109,CC12
SA243,CC45
SA315,CC5
SA459,CC5
SA672,CC72
SA76,CC8
SA825,CC5
SA880,CC1
SA881,CC1
SA1340,CC15
SA933,CC1
SA1061,CC1
SA1088,CC1
SA1151,CC1
SA1194,CC1
SA1214,CC8
SA1258,CC1
SA1285,CC5
SA1337,CC15
SA1373,CC5
SA1395,CC97
SA1410,CC30
SA1496,CC20
SA1502,CC8
SA152,CC1
SA1520,CC30
SA1546,CC1
SA1575,CC72
SA1585,CC5
SA1731,CC5
SA1755,CC8
SA1794,CC1
SA1881,CC5
SA2059,CC5
SA2093,CC8
SA2136,CC5
SA2166,CC5
SA2205,CC5
SA251,CC72
SA283,CC5
SA31,CC1
SA328,CC30
SA333,CC5
SA383,CC5
SA408,CC72
SA434,CC8
SA523,CC15
SA620,CC30
SA684,CC45
SA717,CC8
SA892,CC8
SA925,CC1
SA962,CC59
SA976,CC1
SA999,CC1
SA1081,CC1
SA1974,CC59
SA1334,CC15
SA1679,CC59
SA142,CC9
SA1197,CC30
SA22,CC5
SA290,CC7
SA286,CC7
SA1471,CC20
SA1646,CC5
SA1602,CC5
SA1981,CC59
SA147,CC9
SA575,CC30
SA659,CC9
SA1339,CC15
SA1430,CC20
SA1473,CC20
SA1645,CC5
SA1732,CC5
SA2149,CC5
SA2178,CC5
SA2181,CC5
SA801,CC8
SA929,CC1
SA1027,CC15
SA1523,CC30
SA882,CC1
SA900,CC59
SA1000,CC1
SA1943,CC5
SA653,CC9
